2026-02-27 06:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:40:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:40:38 [INFO]    [PING OK] FI | VLESS | 3907ms
2026-02-27 06:40:38 [INFO]    [PING OK] NL | VLESS | 4135ms
2026-02-27 06:40:38 [INFO]    [PING OK] HU | VLESS | 3918ms
2026-02-27 06:40:38 [INFO]    [PING OK] LV | VLESS | 3872ms
2026-02-27 06:40:38 [INFO]    [PING OK] PL | VLESS | 3857ms
2026-02-27 06:40:38 [INFO]    [PING OK] NL | VLESS | 3926ms
2026-02-27 06:40:38 [INFO]    [PING OK] PL | VLESS | 3887ms
2026-02-27 06:40:38 [INFO]    [PING OK] NL | VLESS | 4220ms
2026-02-27 06:40:39 [INFO]    [PING OK] DE | VLESS | 3593ms
2026-02-27 06:40:39 [INFO]    [PING OK] CZ | VLESS | 3915ms
2026-02-27 06:40:39 [INFO]    [PING OK] US | VLESS | 3519ms
2026-02-27 06:40:39 [INFO]    [PING OK] CH | VLESS | 3817ms
2026-02-27 06:40:39 [INFO]    [PING OK] SE | VLESS | 3684ms
2026-02-27 06:40:39 [INFO]    [PING OK] FR | VLESS | 3577ms
2026-02-27 06:40:40 [INFO]    [PING OK] NL | VLESS | 6261ms
2026-02-27 06:40:40 [INFO]    [PING OK] PL | VLESS | 3670ms
2026-02-27 06:40:40 [INFO]    [PING OK] FI | VLESS | 5707ms
2026-02-27 06:40:40 [INFO]    [PING OK] FI | VLESS | 4042ms
2026-02-27 06:40:40 [INFO]    [PING OK] EE | VLESS | 3649ms
2026-02-27 06:40:40 [INFO]    [PING OK] NL | VLESS | 3906ms
2026-02-27 06:40:40 [INFO]    [PING OK] NL | VLESS | 3951ms
2026-02-27 06:40:41 [INFO]    [PING OK] FI | VLESS | 4177ms
2026-02-27 06:40:41 [INFO]    [PING OK] NL | VLESS | 3870ms
2026-02-27 06:40:41 [INFO]    [PING OK] US | VLESS | 4600ms
2026-02-27 06:40:41 [INFO]    [PING OK] ES | VLESS | 3699ms
2026-02-27 06:40:41 [INFO]    [PING OK] US | VLESS | 3887ms
2026-02-27 06:40:41 [INFO]    [PING OK] US | VLESS | 4032ms
2026-02-27 06:40:43 [INFO]    [PING OK] FI | VLESS | 3946ms
2026-02-27 06:40:43 [INFO]    [PING OK] PL | VLESS | 4383ms
2026-02-27 06:40:43 [INFO]    [PING OK] PL | VLESS | 4155ms
2026-02-27 06:40:43 [INFO]    [PING OK] ES | VLESS | 4307ms
2026-02-27 06:40:43 [INFO]    [PING OK] NL | VLESS | 4125ms
2026-02-27 06:40:44 [INFO]    [PING OK] HK | VLESS | 4184ms
2026-02-27 06:40:44 [INFO]    [PING OK] NL | VLESS | 4203ms
2026-02-27 06:40:44 [INFO]    [PING OK] SE | VLESS | 4205ms
2026-02-27 06:40:44 [INFO]    [PING OK] NL | VLESS | 4202ms
2026-02-27 06:40:44 [INFO]    [PING OK] TR | VLESS | 4374ms
2026-02-27 06:40:44 [INFO]    [PING OK] CA | VLESS | 4097ms
2026-02-27 06:40:44 [INFO]    [PING OK] NL | VLESS | 4144ms
2026-02-27 06:40:44 [INFO]    [PING OK] PL | VLESS | 4052ms
2026-02-27 06:40:45 [INFO]    [PING OK] FI | VLESS | 4123ms
2026-02-27 06:40:45 [INFO]    [PING OK] EE | VLESS | 4375ms
2026-02-27 06:40:45 [INFO]    [PING OK] LV | VLESS | 4220ms
2026-02-27 06:40:46 [INFO]    [PING OK] PL | VLESS | 4191ms
2026-02-27 06:40:46 [INFO]    [PING OK] GB | VLESS | 4171ms
2026-02-27 06:40:46 [INFO]    [PING OK] TR | VLESS | 4331ms
2026-02-27 06:40:46 [INFO]    [PING OK] AE | VLESS | 4433ms
2026-02-27 06:40:46 [INFO]    [PING OK] FI | VLESS | 4465ms
2026-02-27 06:40:47 [INFO]    [PING OK] CA | VLESS | 4308ms
2026-02-27 06:40:47 [INFO]    [PING OK] JP | VLESS | 4615ms
2026-02-27 06:40:48 [INFO]    [PING OK] US | VLESS | 4288ms
2026-02-27 06:40:48 [INFO]    [PING OK] DE | VLESS | 4459ms
2026-02-27 06:40:48 [INFO]    [PING OK] DE | VLESS | 4108ms
2026-02-27 06:40:49 [INFO]    [PING OK] EE | VLESS | 4574ms
2026-02-27 06:40:49 [INFO]    [PING OK] NL | VLESS | 4613ms
2026-02-27 06:40:49 [INFO]    [PING OK] LV | VLESS | 4042ms
2026-02-27 06:40:49 [INFO]    [PING OK] JP | VLESS | 3701ms
2026-02-27 06:40:49 [INFO]    [PING OK] DE | VLESS | 4070ms
2026-02-27 06:40:49 [INFO]    [PING OK] FR | VLESS | 3957ms
2026-02-27 06:40:49 [INFO]    [PING OK] US | VLESS | 4291ms
2026-02-27 06:40:49 [INFO]    [PING OK] DE | VLESS | 4110ms
2026-02-27 06:40:49 [INFO]    [PING OK] JP | VLESS | 3874ms
2026-02-27 06:40:49 [INFO]    [PING OK] ES | VLESS | 3735ms
2026-02-27 06:40:50 [INFO]    [PING OK] DE | VLESS | 4817ms
2026-02-27 06:40:50 [INFO]    [PING OK] KZ | VLESS | 3621ms
2026-02-27 06:40:50 [INFO]    [PING OK] LT | VLESS | 3617ms
2026-02-27 06:40:50 [INFO]    [PING OK] EE | VLESS | 3619ms
2026-02-27 06:40:50 [INFO]    [PING OK] LT | VLESS | 3679ms
2026-02-27 06:40:50 [INFO]    [PING OK] IT | VLESS | 3742ms
2026-02-27 06:40:51 [INFO]    [PING OK] JP | VLESS | 4033ms
2026-02-27 06:40:51 [INFO]    [PING OK] FI | VLESS | 3388ms
2026-02-27 06:40:51 [INFO]    [PING OK] PL | VLESS | 3619ms
2026-02-27 06:40:51 [INFO]    [PING OK] US | VLESS | 3807ms
2026-02-27 06:40:53 [INFO]    [PING OK] JP | VLESS | 4111ms
2026-02-27 06:40:54 [INFO]    [PING OK] PL | VLESS | 3886ms
2026-02-27 06:40:54 [INFO]    [PING OK] FI | VLESS | 3732ms
2026-02-27 06:40:54 [INFO]    [PING OK] TR | VLESS | 4192ms
2026-02-27 06:40:54 [INFO]    [PING OK] FI | VLESS | 3876ms
2026-02-27 06:40:54 [INFO]    [PING OK] LV | VLESS | 3762ms
2026-02-27 06:40:54 [INFO]    [PING OK] DE | VLESS | 3664ms
2026-02-27 06:40:54 [INFO]    [PING OK] US | VLESS | 3700ms
2026-02-27 06:40:55 [INFO]    [PING OK] SG | VLESS | 3092ms
2026-02-27 06:40:55 [INFO]    [PING OK] DE | VLESS | 3811ms
2026-02-27 06:40:55 [INFO]    [PING OK] SG | VLESS | 3794ms
2026-02-27 06:40:55 [INFO]    [PING OK] NL | VLESS | 3389ms
2026-02-27 06:40:58 [INFO]    [PING OK] DE | VLESS | 6551ms
2026-02-27 06:40:59 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-27 06:41:03 [INFO]    🏆 NL | VLESS | Пинг: 3478ms | Скорость: 6.06 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 FI | VLESS | Пинг: 3464ms | Скорость: 6.05 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 LT | VLESS | Пинг: 3617ms | Скорость: 6.15 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 FI | VLESS | Пинг: 3295ms | Скорость: 5.87 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 DE | VLESS | Пинг: 3593ms | Скорость: 6.11 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 PL | VLESS | Пинг: 3581ms | Скорость: 6.11 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 PL | VLESS | Пинг: 3619ms | Скорость: 6.14 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 EE | VLESS | Пинг: 3619ms | Скорость: 6.1 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 KZ | VLESS | Пинг: 3621ms | Скорость: 5.85 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 SG | VLESS | Пинг: 3092ms | Скорость: 5.38 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 US | VLESS | Пинг: 3519ms | Скорость: 5.5 Mbps ⚡⚡
2026-02-27 06:41:03 [INFO]    🏆 HU | VLESS | Пинг: 3574ms | Скорость: 5.52 Mbps ⚡⚡
2026-02-27 06:41:05 [INFO]    🏆 FR | VLESS | Пинг: 3577ms | Скорость: 4.17 Mbps ⚡⚡
2026-02-27 06:41:05 [INFO]    🏆 NL | VLESS | Пинг: 3389ms | Скорость: 3.78 Mbps ⚡⚡
2026-02-27 06:41:06 [INFO]    🏆 FI | VLESS | Пинг: 3388ms | Скорость: 3.05 Mbps ⚡⚡
