2026-02-23 01:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:20:10 [INFO] 🔍 Уникальных конфигов собрано: 658
2026-02-23 01:20:10 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:21:10 [INFO]    [PING OK] DE | VLESS | 2103ms
2026-02-23 01:21:11 [INFO]    [PING OK] DE | VLESS | 4763ms
2026-02-23 01:21:11 [INFO]    [PING OK] FR | VLESS | 988ms
2026-02-23 01:21:11 [INFO]    [PING OK] BR | VLESS | 1964ms
2026-02-23 01:21:11 [INFO]    [PING OK] CA | VLESS | 2980ms
2026-02-23 01:21:11 [INFO]    [PING OK] LV | VLESS | 360ms
2026-02-23 01:21:11 [INFO]    [PING OK] CA | VLESS | 3780ms
2026-02-23 01:21:12 [INFO]    [PING OK] CA | VLESS | 1778ms
2026-02-23 01:21:12 [INFO]    [PING OK] CA | VLESS | 1920ms
2026-02-23 01:21:13 [INFO]    [PING OK] DE | VLESS | 1419ms
2026-02-23 01:21:13 [INFO]    [PING OK] PL | VLESS | 1443ms
2026-02-23 01:21:13 [INFO]    [PING OK] CA | VLESS | 1779ms
2026-02-23 01:21:13 [INFO]    [PING OK] DE | VLESS | 1413ms
2026-02-23 01:21:14 [INFO]    [PING OK] DE | VLESS | 1240ms
2026-02-23 01:21:14 [INFO]    [PING OK] DE | VLESS | 1548ms
2026-02-23 01:21:15 [INFO]    [PING OK] CA | VLESS | 3120ms
2026-02-23 01:21:18 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 01:21:22 [INFO]    🏆 FI | VLESS | Пинг: 963ms | Скорость: 6.73 Mbps ⚡⚡
2026-02-23 01:21:22 [INFO]    🏆 DE | VLESS | Пинг: 1419ms | Скорость: 6.91 Mbps ⚡⚡
2026-02-23 01:21:22 [INFO]    🏆 DE | VLESS | Пинг: 1508ms | Скорость: 6.91 Mbps ⚡⚡
2026-02-23 01:21:23 [INFO]    🏆 DE | VLESS | Пинг: 1413ms | Скорость: 6.01 Mbps ⚡⚡
2026-02-23 01:21:23 [INFO]    🏆 DE | VLESS | Пинг: 1548ms | Скорость: 5.22 Mbps ⚡⚡
2026-02-23 01:21:23 [INFO]    🏆 US | VLESS | Пинг: 1321ms | Скорость: 5.03 Mbps ⚡⚡
