2026-02-27 06:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:20:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 06:20:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:20:45 [INFO]    [PING OK] DE | VLESS | 4721ms
2026-02-27 06:20:45 [INFO]    [PING OK] NL | VLESS | 4600ms
2026-02-27 06:20:45 [INFO]    [PING OK] HU | VLESS | 4621ms
2026-02-27 06:20:45 [INFO]    [PING OK] TR | VLESS | 5035ms
2026-02-27 06:20:46 [INFO]    [PING OK] PL | VLESS | 5666ms
2026-02-27 06:20:46 [INFO]    [PING OK] FI | VLESS | 9192ms
2026-02-27 06:20:46 [INFO]    [PING OK] PL | VLESS | 4180ms
2026-02-27 06:20:46 [INFO]    [PING OK] US | VLESS | 4497ms
2026-02-27 06:20:46 [INFO]    [PING OK] NL | VLESS | 4258ms
2026-02-27 06:20:46 [INFO]    [PING OK] NL | VLESS | 4540ms
2026-02-27 06:20:47 [INFO]    [PING OK] FI | VLESS | 4052ms
2026-02-27 06:20:47 [INFO]    [PING OK] IN | VLESS | 4574ms
2026-02-27 06:20:47 [INFO]    [PING OK] PL | VLESS | 3942ms
2026-02-27 06:20:47 [INFO]    [PING OK] FI | VLESS | 4503ms
2026-02-27 06:20:47 [INFO]    [PING OK] FI | VLESS | 3826ms
2026-02-27 06:20:47 [INFO]    [PING OK] LV | VLESS | 4196ms
2026-02-27 06:20:47 [INFO]    [PING OK] PL | VLESS | 4050ms
2026-02-27 06:20:48 [INFO]    [PING OK] PL | VLESS | 3911ms
2026-02-27 06:20:48 [INFO]    [PING OK] JP | VLESS | 3985ms
2026-02-27 06:20:48 [INFO]    [PING OK] PL | VLESS | 6841ms
2026-02-27 06:20:49 [INFO]    [PING OK] NL | VLESS | 3656ms
2026-02-27 06:20:49 [INFO]    [PING OK] FI | VLESS | 3808ms
2026-02-27 06:20:49 [INFO]    [PING OK] JP | VLESS | 3497ms
2026-02-27 06:20:49 [INFO]    [PING OK] PL | VLESS | 3464ms
2026-02-27 06:20:49 [INFO]    [PING OK] FI | VLESS | 3576ms
2026-02-27 06:20:50 [INFO]    [PING OK] NL | VLESS | 3822ms
2026-02-27 06:20:50 [INFO]    [PING OK] DE | VLESS | 5967ms
2026-02-27 06:20:50 [INFO]    [PING OK] DE | VLESS | 6046ms
2026-02-27 06:20:51 [INFO]    [PING OK] JP | VLESS | 3881ms
2026-02-27 06:20:51 [INFO]    [PING OK] FI | VLESS | 3628ms
2026-02-27 06:20:51 [INFO]    [PING OK] NL | VLESS | 4041ms
2026-02-27 06:20:51 [INFO]    [PING OK] DE | VLESS | 3967ms
