15:53:38 [INFO] 🚀 FL1P VPN V2.5 - TITAN EDITION
15:53:38 [INFO]    🔥 Priority Countries: FI, EE, LV, SE
15:53:38 [INFO] 📥 Сбор конфигураций (Titan Mode)...
15:53:40 [INFO] 
📊 Найдено ссылок (Raw): 2136
15:53:40 [INFO] 📊 Отфильтровано: 553 глобальных, 1148 WL
15:54:43 [INFO]    📊 Deep: 200/206 (97%) | ✅169 ❌31
15:54:45 [INFO]    🎯 103.245.237.124 (VN) - 0.8Mbps, 1189ms [WARP]
15:54:47 [INFO]    🎯 185.81.28.95 (Сингапур) - 0.8Mbps, 2127ms [WARP]
15:54:48 [INFO]    🎯 8.218.245.116 (HK) - 1.2Mbps, 3144ms [WARP]
15:54:52 [INFO]    🎯 45.8.114.50 (Япония) - 0.7Mbps, 1811ms [WARP]
15:54:56 [INFO]    🎯 178.154.252.255 (Россия) - 8.9Mbps, 424ms [Reality]
15:54:57 [INFO]    📊 Deep WL: 19/191 (10%) | ✅1 ❌18
15:54:58 [INFO]    🎯 178.250.243.101 (Россия) - 14.6Mbps, 1171ms [Reality]
15:55:01 [INFO]    🎯 217.16.26.158 (Россия) - 13.4Mbps, 773ms [Reality]
15:55:02 [INFO]    🎯 178.154.252.255 (Россия) - 1.9Mbps, 404ms [Reality]
15:55:03 [INFO]    🎯 178.250.243.98 (Россия) - 14.4Mbps, 1671ms [Reality]
15:55:03 [INFO]    🎯 176.123.164.110 (Россия) - 5.4Mbps, 494ms [Reality]
15:55:04 [INFO]    📊 Deep WL: 38/191 (20%) | ✅6 ❌32
15:55:06 [INFO]    🎯 158.160.221.132 (Россия) - 4.4Mbps, 1330ms [Reality]
15:55:06 [INFO]    🎯 217.16.27.216 (Россия) - 5.2Mbps, 2405ms [Reality]
15:55:06 [INFO]    🎯 217.16.27.216 (Россия) - 4.7Mbps, 2448ms [Reality]
15:55:08 [INFO]    📊 Deep WL: 57/191 (30%) | ✅9 ❌48
15:55:09 [INFO]    🎯 217.16.26.35 (Россия) - 21.4Mbps, 347ms [TCP]
15:55:09 [INFO]    🎯 217.16.16.52 (Россия) - 0.0Mbps, 1744ms [Reality]
15:55:09 [INFO]    🎯 5.188.140.55 (Россия) - 0.0Mbps, 1814ms [Reality]
15:55:10 [INFO]    🎯 84.252.136.245 (Россия) - 9.0Mbps, 586ms [Reality]
15:55:11 [INFO]    🎯 89.169.162.214 (Россия) - 8.7Mbps, 551ms [Reality]
15:55:13 [INFO]    🎯 90.156.150.134 (Россия) - 9.3Mbps, 548ms [Reality]
15:55:13 [INFO]    🎯 176.123.164.110 (Россия) - 10.5Mbps, 530ms [Reality]
15:55:14 [INFO]    🎯 178.154.252.255 (Россия) - 0.9Mbps, 417ms [Reality]
15:55:14 [INFO]    🎯 5.188.140.55 (Россия) - 1.9Mbps, 3408ms [Reality]
15:55:14 [INFO]    📊 Deep WL: 76/191 (40%) | ✅18 ❌58
15:55:14 [INFO]    🎯 176.123.164.110 (Россия) - 9.7Mbps, 494ms [Reality]
15:55:15 [INFO]    🎯 84.252.136.245 (Россия) - 8.4Mbps, 584ms [Reality]
15:55:15 [INFO]    🎯 84.201.167.199 (Россия) - 2.2Mbps, 3996ms [Reality]
15:55:15 [INFO]    🎯 178.250.243.97 (Россия) - 14.6Mbps, 1310ms [Reality]
15:55:15 [INFO]    🎯 90.156.150.134 (Россия) - 9.4Mbps, 567ms [Reality]
15:55:15 [INFO]    🎯 5.188.141.69 (Россия) - 13.9Mbps, 780ms [Reality]
15:55:16 [INFO]    🎯 158.160.221.132 (Россия) - 0.0Mbps, 484ms [Reality]
15:55:16 [INFO]    🎯 90.156.150.134 (Россия) - 8.9Mbps, 566ms [Reality]
15:55:18 [INFO]    🎯 146.185.240.23 (Россия) - 8.9Mbps, 620ms [Reality]
15:55:19 [INFO]    🎯 195.209.67.124 (Россия) - 0.8Mbps, 3136ms [WARP]
15:55:19 [INFO]    🎯 5.188.140.115 (Россия) - 14.9Mbps, 569ms [Reality]
15:55:19 [INFO]    🎯 176.123.164.110 (Россия) - 10.7Mbps, 516ms [Reality]
15:55:19 [INFO]    📊 Deep WL: 95/191 (50%) | ✅30 ❌65
15:55:19 [INFO]    🎯 5.188.140.115 (Россия) - 16.3Mbps, 564ms [Reality]
15:55:20 [INFO]    🎯 90.156.150.134 (Россия) - 9.1Mbps, 557ms [Reality]
15:55:20 [INFO]    🎯 146.185.240.23 (Россия) - 6.2Mbps, 603ms [Reality]
15:55:20 [INFO]    🎯 178.154.252.255 (Россия) - 1.4Mbps, 398ms [Reality]
15:55:20 [INFO]    🎯 90.156.150.134 (Россия) - 9.7Mbps, 555ms [Reality]
15:55:21 [INFO]    🎯 84.201.178.31 (Россия) - 0.6Mbps, 498ms [Reality]
15:55:21 [INFO]    🎯 217.16.27.216 (Россия) - 0.5Mbps, 641ms [TCP]
15:55:22 [INFO]    🎯 5.188.141.138 (Россия) - 1.3Mbps, 4020ms [Reality]
15:55:23 [INFO]    🎯 212.233.76.209 (Россия) - 8.4Mbps, 451ms [Reality]
15:55:23 [INFO]    🎯 5.188.141.138 (Россия) - 2.2Mbps, 3512ms [Reality]
15:55:23 [INFO]    🎯 178.250.243.98 (Россия) - 0.0Mbps, 900ms [Reality]
15:55:23 [INFO]    📊 Deep WL: 114/191 (60%) | ✅41 ❌73
15:55:23 [INFO]    🎯 84.201.178.31 (Россия) - 0.5Mbps, 988ms [Reality]
15:55:23 [INFO]    🎯 146.185.240.23 (Россия) - 9.3Mbps, 547ms [Reality]
15:55:25 [INFO]    🎯 217.16.27.216 (Россия) - 0.4Mbps, 610ms [TCP]
15:55:25 [INFO]    🎯 84.201.178.31 (Россия) - 0.5Mbps, 1517ms [Reality]
15:55:26 [INFO]    🎯 84.252.136.245 (Россия) - 9.1Mbps, 578ms [Reality]
15:55:26 [INFO]    🎯 84.201.178.31 (Россия) - 0.5Mbps, 1559ms [Reality]
15:55:26 [INFO]    🎯 176.123.164.110 (Россия) - 10.8Mbps, 495ms [Reality]
15:55:26 [INFO]    🎯 158.160.105.121 (Россия) - 1.2Mbps, 755ms [Reality]
15:55:27 [INFO]    📊 Deep WL: 133/191 (70%) | ✅49 ❌84
15:55:29 [INFO]    🎯 217.16.16.52 (Россия) - 5.4Mbps, 2916ms [Reality]
15:55:30 [INFO]    🎯 89.169.162.214 (Россия) - 8.9Mbps, 562ms [Reality]
15:55:30 [INFO]    🎯 109.120.188.227 (Россия) - 4.4Mbps, 2234ms [Reality]
15:55:31 [INFO]    🎯 84.201.178.31 (Россия) - 0.5Mbps, 525ms [Reality]
15:55:32 [INFO]    🎯 90.156.150.134 (Россия) - 8.7Mbps, 580ms [Reality]
15:55:32 [INFO]    🎯 84.252.136.245 (Россия) - 8.6Mbps, 588ms [Reality]
15:55:33 [INFO]    🎯 158.160.221.132 (Россия) - 6.8Mbps, 799ms [Reality]
15:55:33 [INFO]    📊 Deep WL: 152/191 (80%) | ✅56 ❌96
15:55:33 [INFO]    🎯 146.185.240.23 (Россия) - 6.4Mbps, 544ms [Reality]
15:55:33 [INFO]    🎯 84.252.136.245 (Россия) - 8.5Mbps, 586ms [Reality]
15:55:34 [INFO]    🎯 178.250.243.101 (Россия) - 3.3Mbps, 1186ms [Reality]
15:55:34 [INFO]    🎯 109.120.188.14 (Россия) - 3.0Mbps, 4394ms [Reality]
15:55:35 [INFO]    🎯 176.123.164.110 (Россия) - 11.7Mbps, 491ms [Reality]
15:55:36 [INFO]    🎯 217.16.26.35 (Россия) - 16.2Mbps, 342ms [TCP]
15:55:37 [INFO]    🎯 158.160.221.132 (Россия) - 8.0Mbps, 841ms [Reality]
