2026-02-23 04:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 04:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 04:30:08 [INFO] 🔍 Уникальных конфигов собрано: 229
2026-02-23 04:30:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 04:30:41 [INFO]    🏆 PL | VLESS | Пинг: 2818ms | Скорость: 5.66 Mbps ⚡⚡
2026-02-23 04:30:43 [INFO]    🏆 HU | VLESS | Пинг: 2696ms | Скорость: 3.46 Mbps ⚡⚡
2026-02-23 04:30:43 [INFO]    🏆 US | VLESS | Пинг: 2681ms | Скорость: 3.37 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 IT | VLESS | Пинг: 3130ms | Скорость: 6.72 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 DE | VLESS | Пинг: 3449ms | Скорость: 6.67 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 PL | VLESS | Пинг: 3658ms | Скорость: 6.54 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 HU | VLESS | Пинг: 3739ms | Скорость: 6.75 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 PL | VLESS | Пинг: 3671ms | Скорость: 6.61 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 ES | VLESS | Пинг: 3229ms | Скорость: 6.44 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 TR | VLESS | Пинг: 3717ms | Скорость: 6.58 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 TR | VLESS | Пинг: 3437ms | Скорость: 6.18 Mbps ⚡⚡
2026-02-23 04:30:45 [INFO]    🏆 ES | VLESS | Пинг: 3511ms | Скорость: 5.7 Mbps ⚡⚡
2026-02-23 04:30:47 [INFO]    🏆 CA | VLESS | Пинг: 3123ms | Скорость: 3.87 Mbps ⚡⚡
2026-02-23 04:30:47 [INFO]    🏆 CA | VLESS | Пинг: 3649ms | Скорость: 3.83 Mbps ⚡⚡
2026-02-23 04:30:47 [INFO]    🏆 DE | VLESS | Пинг: 3772ms | Скорость: 12.39 Mbps ⚡⚡
2026-02-23 04:30:48 [INFO]    🏆 PL | VLESS | Пинг: 3775ms | Скорость: 9.29 Mbps ⚡⚡
2026-02-23 04:30:48 [INFO]    🏆 PL | VLESS | Пинг: 3995ms | Скорость: 9.51 Mbps ⚡⚡
2026-02-23 04:30:48 [INFO]    🏆 HU | VLESS | Пинг: 3813ms | Скорость: 9.22 Mbps ⚡⚡
2026-02-23 04:30:49 [INFO]    🏆 CA | VLESS | Пинг: 4065ms | Скорость: 7.01 Mbps ⚡⚡
2026-02-23 04:30:49 [INFO]    🏆 PL | VLESS | Пинг: 3891ms | Скорость: 5.58 Mbps ⚡⚡
2026-02-23 04:30:49 [INFO]    🏆 CA | VLESS | Пинг: 4208ms | Скорость: 6.15 Mbps ⚡⚡
2026-02-23 04:30:52 [INFO]    🏆 CA | VLESS | Пинг: 4258ms | Скорость: 1.71 Mbps ⚡
2026-02-23 04:30:55 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-23 04:30:55 [INFO] 💾 Файл успешно сохранен: FL1PVPN
