2026-02-21 12:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 12:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 12:50:13 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 12:50:13 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 12:53:11 [INFO]    [PING OK] US | VLESS | 612ms
2026-02-21 12:53:12 [INFO]    [PING OK] TR | VLESS | 329ms
2026-02-21 12:53:12 [INFO]    [PING OK] GB | VLESS | 1347ms
2026-02-21 12:53:17 [INFO]    [PING OK] RU | VLESS | 389ms
2026-02-21 12:53:18 [INFO]    [PING OK] FI | VLESS | 226ms
2026-02-21 12:53:18 [INFO]    [PING OK] CY | VLESS | 383ms
2026-02-21 12:53:18 [INFO]    [PING OK] FR | VLESS | 200ms
2026-02-21 12:53:18 [INFO]    [PING OK] RU | VLESS | 403ms
2026-02-21 12:53:20 [INFO]    [PING OK] RU | VLESS | 289ms
2026-02-21 12:53:28 [INFO]    [PING OK] PL | VLESS | 1015ms
2026-02-21 12:53:33 [INFO]    [PING OK] IN | VLESS | 717ms
2026-02-21 12:53:33 [INFO]    [PING OK] NL | VLESS | 211ms
2026-02-21 12:53:34 [INFO]    [PING OK] MD | VLESS | 567ms
2026-02-21 12:53:34 [INFO]    [PING OK] IS | VLESS | 1272ms
2026-02-21 12:53:34 [INFO]    [PING OK] CA | VLESS | 438ms
2026-02-21 12:53:43 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 кандидатов...
2026-02-21 12:53:46 [INFO]    🏆 SE | VLESS | Пинг: 108ms | Скорость: 8.84 Mbps ⚡⚡
2026-02-21 12:53:46 [INFO]    🏆 DE | VLESS | Пинг: 117ms | Скорость: 9.15 Mbps ⚡⚡
2026-02-21 12:53:46 [INFO]    🏆 DE | VLESS | Пинг: 107ms | Скорость: 8.51 Mbps ⚡⚡
2026-02-21 12:53:46 [INFO]    🏆 AU | VLESS | Пинг: 111ms | Скорость: 9.09 Mbps ⚡⚡
2026-02-21 12:53:46 [INFO]    🏆 DE | VLESS | Пинг: 117ms | Скорость: 8.91 Mbps ⚡⚡
2026-02-21 12:53:46 [INFO]    🏆 DE | VLESS | Пинг: 122ms | Скорость: 10.44 Mbps ⚡⚡
2026-02-21 12:53:46 [INFO]    🏆 FR | VMESS | Пинг: 119ms | Скорость: 9.06 Mbps ⚡⚡
2026-02-21 12:53:47 [INFO]    🏆 DE | VLESS | Пинг: 111ms | Скорость: 6.29 Mbps ⚡⚡
2026-02-21 12:53:48 [INFO]    🏆 NO | VLESS | Пинг: 118ms | Скорость: 5.8 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 SE | VLESS | Пинг: 123ms | Скорость: 9.42 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 DE | VLESS | Пинг: 126ms | Скорость: 8.8 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 DE | VLESS | Пинг: 123ms | Скорость: 8.75 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 DE | VLESS | Пинг: 137ms | Скорость: 8.76 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 FI | VLESS | Пинг: 145ms | Скорость: 9.43 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 NL | VLESS | Пинг: 146ms | Скорость: 9.58 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 DE | VLESS | Пинг: 141ms | Скорость: 8.65 Mbps ⚡⚡
2026-02-21 12:53:49 [INFO]    🏆 DE | VLESS | Пинг: 110ms | Скорость: 3.58 Mbps ⚡⚡
2026-02-21 12:53:50 [INFO]    🏆 DE | VLESS | Пинг: 156ms | Скорость: 9.18 Mbps ⚡⚡
2026-02-21 12:53:50 [INFO]    🏆 GB | VLESS | Пинг: 160ms | Скорость: 10.26 Mbps ⚡⚡
2026-02-21 12:53:50 [INFO]    🏆 DE | VLESS | Пинг: 167ms | Скорость: 11.08 Mbps ⚡⚡
2026-02-21 12:53:51 [INFO]    🏆 DE | VLESS | Пинг: 171ms | Скорость: 8.0 Mbps ⚡⚡
