2026-02-18 17:00:06 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY, ANY SNI, Target: 10)
2026-02-18 17:00:06 [INFO] 🌐 Загрузка источников (отбор только VLESS+Reality)...
2026-02-18 17:00:07 [INFO] 🔍 Найдено серверов VLESS+Reality: 1537
2026-02-18 17:00:07 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 17:00:42 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: ozon.ru | 2871ms | Src: raw.githubusercontent.com
2026-02-18 17:00:42 [INFO]    [PING OK] LV | VLESS-REALITY | SNI: yahoo.com | 415ms | Src: raw.githubusercontent.com
2026-02-18 17:00:43 [INFO]    [PING OK] MD | VLESS-REALITY | SNI: stats.vk-portal.net | 158ms | Src: raw.githubusercontent.com
2026-02-18 17:00:43 [INFO]    [PING OK] NL | VLESS-REALITY | SNI: fuck.rkn | 223ms | Src: raw.githubusercontent.com
2026-02-18 17:00:44 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 709ms | Src: raw.githubusercontent.com
2026-02-18 17:00:44 [INFO]    [PING OK] ES | VLESS-REALITY | SNI: s2.plansv.tech | 1216ms | Src: raw.githubusercontent.com
2026-02-18 17:00:45 [INFO]    [PING OK] NL | VLESS-REALITY | SNI: nl.roblugo.su | 344ms | Src: raw.githubusercontent.com
2026-02-18 17:00:45 [INFO]    [PING OK] US | VLESS-REALITY | SNI: s4.plansv.tech | 561ms | Src: raw.githubusercontent.com
2026-02-18 17:00:46 [INFO]    [PING OK] US | VLESS-REALITY | SNI: fuck.rkn | 629ms | Src: raw.githubusercontent.com
2026-02-18 17:00:46 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: one-piece.com | 320ms | Src: raw.githubusercontent.com
2026-02-18 17:00:46 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: help.max.ru | 143ms | Src: raw.githubusercontent.com
2026-02-18 17:00:47 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.ru | 835ms | Src: raw.githubusercontent.com
2026-02-18 17:00:47 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 569ms | Src: raw.githubusercontent.com
2026-02-18 17:00:48 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.ru | 300ms | Src: raw.githubusercontent.com
