2026-02-27 06:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:50:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:51:01 [INFO]    🏆 NL | VLESS | Пинг: 3409ms | Скорость: 6.21 Mbps ⚡⚡
2026-02-27 06:51:01 [INFO]    🏆 NL | VLESS | Пинг: 3676ms | Скорость: 6.35 Mbps ⚡⚡
2026-02-27 06:51:01 [INFO]    🏆 PL | VLESS | Пинг: 3878ms | Скорость: 7.0 Mbps ⚡⚡
2026-02-27 06:51:01 [INFO]    🏆 NL | VLESS | Пинг: 3815ms | Скорость: 6.26 Mbps ⚡⚡
2026-02-27 06:51:02 [INFO]    🏆 CZ | VLESS | Пинг: 3889ms | Скорость: 6.82 Mbps ⚡⚡
2026-02-27 06:51:02 [INFO]    🏆 ES | VLESS | Пинг: 3887ms | Скорость: 6.73 Mbps ⚡⚡
2026-02-27 06:51:02 [INFO]    🏆 TR | VLESS | Пинг: 3905ms | Скорость: 6.58 Mbps ⚡⚡
2026-02-27 06:51:02 [INFO]    🏆 US | VLESS | Пинг: 3849ms | Скорость: 6.03 Mbps ⚡⚡
2026-02-27 06:51:04 [INFO]    🏆 DE | VLESS | Пинг: 2182ms | Скорость: 3.14 Mbps ⚡⚡
2026-02-27 06:51:04 [INFO]    🏆 DE | VLESS | Пинг: 3604ms | Скорость: 3.33 Mbps ⚡⚡
2026-02-27 06:51:04 [INFO]    🏆 AE | VLESS | Пинг: 3906ms | Скорость: 6.56 Mbps ⚡⚡
2026-02-27 06:51:04 [INFO]    🏆 NL | VLESS | Пинг: 3915ms | Скорость: 8.19 Mbps ⚡⚡
2026-02-27 06:51:04 [INFO]    🏆 PL | VLESS | Пинг: 3920ms | Скорость: 8.26 Mbps ⚡⚡
2026-02-27 06:51:05 [INFO]    🏆 US | VLESS | Пинг: 3921ms | Скорость: 6.85 Mbps ⚡⚡
2026-02-27 06:51:05 [INFO]    🏆 TR | VLESS | Пинг: 3939ms | Скорость: 6.56 Mbps ⚡⚡
2026-02-27 06:51:05 [INFO]    🏆 LT | VLESS | Пинг: 3936ms | Скорость: 6.33 Mbps ⚡⚡
2026-02-27 06:51:06 [INFO]    🏆 PL | VLESS | Пинг: 3997ms | Скорость: 6.78 Mbps ⚡⚡
2026-02-27 06:51:06 [INFO]    🏆 CH | VLESS | Пинг: 3961ms | Скорость: 4.94 Mbps ⚡⚡
2026-02-27 06:51:07 [INFO]    🏆 DE | VLESS | Пинг: 3972ms | Скорость: 4.58 Mbps ⚡⚡
2026-02-27 06:51:07 [INFO]    🏆 DE | VLESS | Пинг: 3958ms | Скорость: 4.06 Mbps ⚡⚡
2026-02-27 06:51:07 [INFO]    🏆 EE | VLESS | Пинг: 3998ms | Скорость: 8.6 Mbps ⚡⚡
2026-02-27 06:51:07 [INFO]    🏆 CH | VLESS | Пинг: 4013ms | Скорость: 8.38 Mbps ⚡⚡
2026-02-27 06:51:07 [INFO]    🏆 US | VLESS | Пинг: 3969ms | Скорость: 3.94 Mbps ⚡⚡
2026-02-27 06:51:08 [INFO]    🏆 FI | VLESS | Пинг: 4024ms | Скорость: 7.5 Mbps ⚡⚡
2026-02-27 06:51:08 [INFO]    🏆 PL | VLESS | Пинг: 4046ms | Скорость: 9.12 Mbps ⚡⚡
2026-02-27 06:51:08 [INFO]    🏆 DE | VLESS | Пинг: 4058ms | Скорость: 9.55 Mbps ⚡⚡
2026-02-27 06:51:08 [INFO]    🏆 FI | VLESS | Пинг: 4007ms | Скорость: 6.18 Mbps ⚡⚡
2026-02-27 06:51:08 [INFO]    🏆 US | VLESS | Пинг: 4029ms | Скорость: 6.66 Mbps ⚡⚡
2026-02-27 06:51:08 [INFO]    🏆 US | VLESS | Пинг: 3986ms | Скорость: 2.39 Mbps ⚡
2026-02-27 06:51:09 [INFO]    🏆 FR | VLESS | Пинг: 4107ms | Скорость: 14.61 Mbps ⚡⚡
2026-02-27 06:51:09 [INFO]    🏆 HU | VLESS | Пинг: 4104ms | Скорость: 10.76 Mbps ⚡⚡
2026-02-27 06:51:09 [INFO]    🏆 DE | VLESS | Пинг: 4079ms | Скорость: 8.51 Mbps ⚡⚡
2026-02-27 06:51:10 [INFO]    🏆 DE | VLESS | Пинг: 4076ms | Скорость: 5.05 Mbps ⚡⚡
2026-02-27 06:51:12 [INFO]    🏆 DE | VLESS | Пинг: 4064ms | Скорость: 1.27 Mbps 
2026-02-27 06:51:12 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-27 06:51:12 [INFO] 💾 Файл успешно сохранен: FL1PVPN
