2026-02-27 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 07:00:37 [INFO]    [PING OK] FI | VLESS | 4586ms
2026-02-27 07:00:37 [INFO]    [PING OK] NL | VLESS | 4548ms
2026-02-27 07:00:37 [INFO]    [PING OK] TR | VLESS | 4703ms
2026-02-27 07:00:38 [INFO]    [PING OK] FR | VLESS | 4433ms
2026-02-27 07:00:38 [INFO]    [PING OK] ES | VLESS | 4327ms
2026-02-27 07:00:38 [INFO]    [PING OK] FI | VLESS | 4595ms
2026-02-27 07:00:39 [INFO]    [PING OK] DE | VLESS | 4894ms
2026-02-27 07:00:39 [INFO]    [PING OK] ES | VLESS | 4140ms
2026-02-27 07:00:39 [INFO]    [PING OK] SE | VLESS | 4172ms
2026-02-27 07:00:40 [INFO]    [PING OK] US | VLESS | 5430ms
2026-02-27 07:00:40 [INFO]    [PING OK] US | VLESS | 4105ms
2026-02-27 07:00:40 [INFO]    [PING OK] US | VLESS | 4103ms
2026-02-27 07:00:40 [INFO]    [PING OK] EE | VLESS | 3953ms
2026-02-27 07:00:40 [INFO]    [PING OK] EE | VLESS | 3827ms
2026-02-27 07:00:40 [INFO]    [PING OK] SE | VLESS | 4259ms
2026-02-27 07:00:40 [INFO]    [PING OK] US | VLESS | 4449ms
2026-02-27 07:00:40 [INFO]    [PING OK] IT | VLESS | 3785ms
2026-02-27 07:00:41 [INFO]    [PING OK] PL | VLESS | 4061ms
2026-02-27 07:00:41 [INFO]    [PING OK] JP | VLESS | 3899ms
2026-02-27 07:00:41 [INFO]    [PING OK] HU | VLESS | 3899ms
2026-02-27 07:00:42 [INFO]    [PING OK] PL | VLESS | 3685ms
2026-02-27 07:00:42 [INFO]    [PING OK] NO | VLESS | 5575ms
2026-02-27 07:00:42 [INFO]    [PING OK] US | VLESS | 3970ms
2026-02-27 07:00:42 [INFO]    [PING OK] NL | VLESS | 4239ms
2026-02-27 07:00:42 [INFO]    [PING OK] NL | VLESS | 4105ms
2026-02-27 07:00:42 [INFO]    [PING OK] DE | VLESS | 3824ms
2026-02-27 07:00:42 [INFO]    [PING OK] PL | VLESS | 3964ms
2026-02-27 07:00:43 [INFO]    [PING OK] HU | VLESS | 3914ms
2026-02-27 07:00:43 [INFO]    [PING OK] FR | VLESS | 3910ms
2026-02-27 07:00:44 [INFO]    [PING OK] US | VLESS | 4432ms
2026-02-27 07:00:44 [INFO]    [PING OK] NL | VLESS | 4271ms
2026-02-27 07:00:44 [INFO]    [PING OK] KZ | VLESS | 4276ms
2026-02-27 07:00:45 [INFO]    [PING OK] FI | VLESS | 3981ms
2026-02-27 07:00:45 [INFO]    [PING OK] PL | VLESS | 3954ms
2026-02-27 07:00:45 [INFO]    [PING OK] NL | VLESS | 4132ms
2026-02-27 07:00:45 [INFO]    [PING OK] FI | VLESS | 3958ms
2026-02-27 07:00:45 [INFO]    [PING OK] IN | VLESS | 4398ms
2026-02-27 07:00:45 [INFO]    [PING OK] NL | VLESS | 3940ms
2026-02-27 07:00:45 [INFO]    [PING OK] PL | VLESS | 4053ms
2026-02-27 07:00:46 [INFO]    [PING OK] DE | VLESS | 3937ms
2026-02-27 07:00:46 [INFO]    [PING OK] TR | VLESS | 4031ms
2026-02-27 07:00:46 [INFO]    [PING OK] PL | VLESS | 4040ms
2026-02-27 07:00:46 [INFO]    [PING OK] JP | VLESS | 3938ms
2026-02-27 07:00:47 [INFO]    [PING OK] DE | VLESS | 4011ms
