2026-02-17 22:20:05 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-17 22:20:05 [INFO] 🌐 Загрузка источников...
2026-02-17 22:20:08 [INFO] 🔍 Уникальных конфигов собрано: 351
2026-02-17 22:20:08 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-17 22:20:40 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для ТОП-10 серверов...
2026-02-17 22:20:47 [INFO]    🏆 PL | Пинг: 89ms | Скорость: 8.15 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 PL | Пинг: 123ms | Скорость: 7.64 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 FI | Пинг: 136ms | Скорость: 1.99 Mbps ⚡
2026-02-17 22:20:47 [INFO]    🏆 NL | Пинг: 146ms | Скорость: 7.66 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 NL | Пинг: 150ms | Скорость: 6.94 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 LT | Пинг: 151ms | Скорость: 7.79 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 DE | Пинг: 152ms | Скорость: 7.92 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 DE | Пинг: 154ms | Скорость: 5.54 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 DE | Пинг: 155ms | Скорость: 8.06 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO]    🏆 RU | Пинг: 45ms | Скорость: 8.13 Mbps ⚡⚡
2026-02-17 22:20:47 [INFO] 🇷🇺 Добавлен RU сервер: 85.192.32.30
2026-02-17 22:20:47 [INFO] 📊 Итого в подписке сохранено: 10 серверов
2026-02-17 22:20:47 [INFO] 💾 Файл успешно сохранен: FL1PVPN
