2026-02-21 13:30:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:30:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:30:14 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 13:30:14 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:31:15 [INFO]    [PING OK] RU | VLESS | 166ms
2026-02-21 13:31:15 [INFO]    [PING OK] US | VMESS | 370ms
2026-02-21 13:31:16 [INFO]    [PING OK] KR | VMESS | 745ms
2026-02-21 13:31:16 [INFO]    [PING OK] RU | VLESS | 135ms
2026-02-21 13:31:16 [INFO]    [PING OK] RU | VLESS | 465ms
2026-02-21 13:31:19 [INFO]    [PING OK] SG | VLESS | 700ms
2026-02-21 13:31:20 [INFO]    [PING OK] GB | VMESS | 1981ms
2026-02-21 13:31:20 [INFO]    [PING OK] DE | VLESS | 172ms
2026-02-21 13:31:20 [INFO]    [PING OK] FR | VLESS | 568ms
2026-02-21 13:31:21 [INFO]    [PING OK] RU | VLESS | 1489ms
2026-02-21 13:31:21 [INFO]    [PING OK] RU | VLESS | 212ms
2026-02-21 13:31:21 [INFO]    [PING OK] FR | VLESS | 189ms
2026-02-21 13:31:22 [INFO]    [PING OK] NO | VLESS | 118ms
2026-02-21 13:31:22 [INFO]    [PING OK] US | VLESS | 546ms
2026-02-21 13:31:26 [INFO]    [PING OK] NL | VLESS | 207ms
2026-02-21 13:31:27 [INFO]    [PING OK] NL | VLESS | 249ms
2026-02-21 13:31:27 [INFO]    [PING OK] NL | VLESS | 1199ms
2026-02-21 13:31:27 [INFO]    [PING OK] IT | VLESS | 1264ms
2026-02-21 13:31:29 [INFO]    [PING OK] FR | VLESS | 285ms
2026-02-21 13:31:29 [INFO]    [PING OK] CY | VLESS | 388ms
2026-02-21 13:31:29 [INFO]    [PING OK] DE | VLESS | 2190ms
2026-02-21 13:31:30 [INFO]    [PING OK] NL | VLESS | 227ms
2026-02-21 13:31:31 [INFO]    [PING OK] CY | VLESS | 384ms
2026-02-21 13:31:31 [INFO]    [PING OK] US | VLESS | 407ms
