2026-02-26 05:10:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:10:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:10:07 [INFO] 🔍 Уникальных конфигов собрано: 617
2026-02-26 05:10:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:11:08 [INFO]    [PING OK] US | VLESS | 4502ms
2026-02-26 05:11:08 [INFO]    [PING OK] DE | VLESS | 4195ms
2026-02-26 05:11:08 [INFO]    [PING OK] PL | VLESS | 4056ms
2026-02-26 05:11:08 [INFO]    [PING OK] PL | VLESS | 3967ms
2026-02-26 05:11:08 [INFO]    [PING OK] HK | VLESS | 4588ms
2026-02-26 05:11:08 [INFO]    [PING OK] PL | VLESS | 3913ms
2026-02-26 05:11:08 [INFO]    [PING OK] IT | VLESS | 3649ms
2026-02-26 05:11:08 [INFO]    [PING OK] NL | VLESS | 3989ms
2026-02-26 05:11:09 [INFO]    [PING OK] CA | VLESS | 3681ms
2026-02-26 05:11:10 [INFO]    [PING OK] LT | VLESS | 4173ms
2026-02-26 05:11:10 [INFO]    [PING OK] NG | VLESS | 4544ms
2026-02-26 05:11:11 [INFO]    [PING OK] US | VLESS | 3979ms
2026-02-26 05:11:11 [INFO]    [PING OK] DE | VLESS | 4011ms
2026-02-26 05:11:11 [INFO]    [PING OK] PL | VLESS | 4036ms
2026-02-26 05:11:12 [INFO]    [PING OK] CA | VLESS | 4074ms
2026-02-26 05:11:12 [INFO]    [PING OK] NL | VLESS | 4138ms
2026-02-26 05:11:13 [INFO]    [PING OK] DE | VLESS | 4516ms
2026-02-26 05:11:13 [INFO]    [PING OK] FR | VLESS | 4720ms
2026-02-26 05:11:13 [INFO]    [PING OK] US | VLESS | 4745ms
2026-02-26 05:11:13 [INFO]    [PING OK] DE | VLESS | 4535ms
2026-02-26 05:11:14 [INFO]    [PING OK] DE | VLESS | 4734ms
2026-02-26 05:11:14 [INFO]    [PING OK] US | VLESS | 4589ms
2026-02-26 05:11:15 [INFO]    [PING OK] US | VLESS | 4034ms
2026-02-26 05:11:16 [INFO]    [PING OK] SG | VLESS | 4375ms
2026-02-26 05:11:16 [INFO]    [PING OK] DE | VLESS | 3431ms
2026-02-26 05:11:17 [INFO]    [PING OK] NL | VLESS | 3651ms
2026-02-26 05:11:17 [INFO]    [PING OK] NL | VLESS | 2599ms
2026-02-26 05:11:17 [INFO]    [PING OK] LV | VLESS | 1100ms
2026-02-26 05:11:18 [INFO]    [PING OK] GB | VLESS | 9440ms
2026-02-26 05:11:22 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-26 05:11:26 [INFO]    🏆 LV | VLESS | Пинг: 1100ms | Скорость: 5.54 Mbps ⚡⚡
2026-02-26 05:11:26 [INFO]    🏆 DE | VLESS | Пинг: 3431ms | Скорость: 5.5 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 IT | VLESS | Пинг: 3574ms | Скорость: 5.68 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 FI | VLESS | Пинг: 3553ms | Скорость: 5.64 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 3479ms | Скорость: 5.45 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 FI | VLESS | Пинг: 3660ms | Скорость: 5.69 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 GB | VLESS | Пинг: 3174ms | Скорость: 5.34 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 2599ms | Скорость: 5.3 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 3439ms | Скорость: 5.41 Mbps ⚡⚡
