2026-02-23 01:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:40:08 [INFO] 🔍 Уникальных конфигов собрано: 655
2026-02-23 01:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:41:12 [INFO]    [PING OK] DE | VLESS | 4434ms
2026-02-23 01:41:17 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 01:41:24 [INFO]    🏆 DE | VLESS | Пинг: 665ms | Скорость: 2.61 Mbps ⚡
2026-02-23 01:41:24 [INFO]    🏆 DE | VLESS | Пинг: 957ms | Скорость: 2.08 Mbps ⚡
2026-02-23 01:41:24 [INFO]    🏆 DE | VLESS | Пинг: 917ms | Скорость: 2.64 Mbps ⚡
2026-02-23 01:41:24 [INFO]    🏆 US | VLESS | Пинг: 1443ms | Скорость: 2.73 Mbps ⚡
2026-02-23 01:41:24 [INFO]    🏆 US | VLESS | Пинг: 1280ms | Скорость: 2.41 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 DE | VLESS | Пинг: 714ms | Скорость: 2.57 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 NL | VLESS | Пинг: 920ms | Скорость: 2.6 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 DE | VLESS | Пинг: 1474ms | Скорость: 2.7 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 DE | VLESS | Пинг: 1498ms | Скорость: 2.91 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 US | VLESS | Пинг: 1748ms | Скорость: 2.3 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 BR | VLESS | Пинг: 1632ms | Скорость: 2.39 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 DE | VLESS | Пинг: 1778ms | Скорость: 2.43 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 DE | VLESS | Пинг: 1792ms | Скорость: 2.63 Mbps ⚡
2026-02-23 01:41:25 [INFO]    🏆 DE | VLESS | Пинг: 1985ms | Скорость: 2.41 Mbps ⚡
2026-02-23 01:41:26 [INFO]    🏆 GB | VLESS | Пинг: 2109ms | Скорость: 2.44 Mbps ⚡
2026-02-23 01:41:31 [INFO]    🏆 DE | VLESS | Пинг: 2361ms | Скорость: 3.65 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 US | VLESS | Пинг: 2269ms | Скорость: 3.63 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 FI | VLESS | Пинг: 2380ms | Скорость: 3.61 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 DE | VLESS | Пинг: 2163ms | Скорость: 3.51 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 SG | VLESS | Пинг: 2460ms | Скорость: 3.7 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 DE | VLESS | Пинг: 2432ms | Скорость: 3.56 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 CA | VLESS | Пинг: 2466ms | Скорость: 3.66 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 CA | VLESS | Пинг: 2126ms | Скорость: 3.52 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 CA | VLESS | Пинг: 2216ms | Скорость: 3.5 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 DE | VLESS | Пинг: 2497ms | Скорость: 3.61 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 DE | VLESS | Пинг: 2649ms | Скорость: 4.16 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 LV | VLESS | Пинг: 2630ms | Скорость: 4.15 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 FR | VLESS | Пинг: 2719ms | Скорость: 4.3 Mbps ⚡⚡
2026-02-23 01:41:31 [INFO]    🏆 SG | VLESS | Пинг: 2725ms | Скорость: 5.24 Mbps ⚡⚡
2026-02-23 01:41:33 [INFO]    🏆 DE | VLESS | Пинг: 2770ms | Скорость: 16.26 Mbps ⚡⚡
2026-02-23 01:41:33 [INFO]    🏆 FR | VLESS | Пинг: 2784ms | Скорость: 17.62 Mbps ⚡⚡
2026-02-23 01:41:33 [INFO]    🏆 GB | VLESS | Пинг: 2822ms | Скорость: 16.31 Mbps ⚡⚡
2026-02-23 01:41:34 [INFO]    🏆 CA | VLESS | Пинг: 2819ms | Скорость: 9.75 Mbps ⚡⚡
2026-02-23 01:41:34 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-23 01:41:34 [INFO] 💾 Файл успешно сохранен: FL1PVPN
