2026-02-26 06:40:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 06:40:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 06:40:08 [INFO] 🔍 Уникальных конфигов собрано: 619
2026-02-26 06:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 06:40:13 [INFO]    [PING OK] DE | VLESS | 4493ms
2026-02-26 06:40:49 [INFO]    [PING OK] IT | VLESS | 4150ms
2026-02-26 06:40:49 [INFO]    [PING OK] NL | VLESS | 3844ms
2026-02-26 06:40:49 [INFO]    [PING OK] SE | VLESS | 3941ms
2026-02-26 06:40:50 [INFO]    [PING OK] PL | VLESS | 3606ms
2026-02-26 06:40:50 [INFO]    [PING OK] NL | VLESS | 3811ms
2026-02-26 06:40:51 [INFO]    [PING OK] EE | VLESS | 4013ms
2026-02-26 06:40:51 [INFO]    [PING OK] PL | VLESS | 3831ms
2026-02-26 06:40:51 [INFO]    [PING OK] PL | VLESS | 4426ms
2026-02-26 06:40:51 [INFO]    [PING OK] DE | VLESS | 3888ms
2026-02-26 06:40:51 [INFO]    [PING OK] NL | VLESS | 3682ms
2026-02-26 06:40:51 [INFO]    [PING OK] DE | VLESS | 3496ms
2026-02-26 06:40:51 [INFO]    [PING OK] LT | VLESS | 3965ms
2026-02-26 06:40:51 [INFO]    [PING OK] HU | VLESS | 4887ms
2026-02-26 06:40:53 [INFO]    [PING OK] FI | VLESS | 3352ms
2026-02-26 06:40:53 [INFO]    [PING OK] PL | VLESS | 3469ms
2026-02-26 06:40:54 [INFO]    [PING OK] CH | VLESS | 3783ms
2026-02-26 06:40:54 [INFO]    [PING OK] DE | VLESS | 3797ms
2026-02-26 06:40:54 [INFO]    [PING OK] NL | VLESS | 3484ms
2026-02-26 06:40:55 [INFO]    [PING OK] TR | VLESS | 3687ms
2026-02-26 06:40:55 [INFO]    [PING OK] NL | VLESS | 3506ms
2026-02-26 06:40:56 [INFO]    [PING OK] US | VLESS | 3657ms
2026-02-26 06:40:57 [INFO]    [PING OK] NO | VLESS | 4191ms
2026-02-26 06:40:57 [INFO]    [PING OK] DE | VLESS | 3405ms
2026-02-26 06:40:57 [INFO]    [PING OK] DE | VLESS | 4189ms
2026-02-26 06:40:57 [INFO]    [PING OK] IT | VLESS | 4436ms
2026-02-26 06:40:57 [INFO]    [PING OK] ES | VLESS | 3871ms
2026-02-26 06:40:57 [INFO]    [PING OK] ES | VLESS | 3917ms
2026-02-26 06:40:57 [INFO]    [PING OK] NL | VLESS | 4559ms
2026-02-26 06:40:58 [INFO]    [PING OK] NL | VLESS | 3061ms
2026-02-26 06:40:58 [INFO]    [PING OK] DE | VLESS | 8233ms
2026-02-26 06:40:58 [INFO]    [PING OK] DE | VLESS | 3673ms
2026-02-26 06:40:59 [INFO]    [PING OK] TR | VLESS | 3497ms
2026-02-26 06:40:59 [INFO]    [PING OK] PL | VLESS | 3409ms
2026-02-26 06:40:59 [INFO]    [PING OK] FI | VLESS | 3507ms
2026-02-26 06:40:59 [INFO]    [PING OK] TR | VLESS | 3959ms
2026-02-26 06:41:01 [INFO]    [PING OK] CH | VLESS | 4300ms
2026-02-26 06:41:01 [INFO]    [PING OK] TR | VLESS | 4406ms
2026-02-26 06:41:01 [INFO]    [PING OK] PL | VLESS | 5121ms
2026-02-26 06:41:01 [INFO]    [PING OK] DE | VLESS | 4556ms
2026-02-26 06:41:02 [INFO]    [PING OK] PL | VLESS | 4357ms
2026-02-26 06:41:02 [INFO]    [PING OK] CA | VLESS | 4263ms
2026-02-26 06:41:02 [INFO]    [PING OK] US | VLESS | 4539ms
2026-02-26 06:41:02 [INFO]    [PING OK] PL | VLESS | 4486ms
2026-02-26 06:41:03 [INFO]    [PING OK] NL | VLESS | 5027ms
2026-02-26 06:41:03 [INFO]    [PING OK] ES | VLESS | 4149ms
2026-02-26 06:41:03 [INFO]    [PING OK] TR | VLESS | 4318ms
2026-02-26 06:41:04 [INFO]    [PING OK] PL | VLESS | 4271ms
2026-02-26 06:41:04 [INFO]    [PING OK] FI | VLESS | 4717ms
2026-02-26 06:41:04 [INFO]    [PING OK] IT | VLESS | 4309ms
2026-02-26 06:41:05 [INFO]    [PING OK] FR | VLESS | 3806ms
2026-02-26 06:41:05 [INFO]    [PING OK] FI | VLESS | 3789ms
2026-02-26 06:41:05 [INFO]    [PING OK] DE | VLESS | 3587ms
2026-02-26 06:41:06 [INFO]    [PING OK] FI | VLESS | 4195ms
2026-02-26 06:41:06 [INFO]    [PING OK] HK | VLESS | 4234ms
2026-02-26 06:41:06 [INFO]    [PING OK] HK | VLESS | 4049ms
2026-02-26 06:41:07 [INFO]    [PING OK] PL | VLESS | 3933ms
2026-02-26 06:41:07 [INFO]    [PING OK] AE | VLESS | 4227ms
2026-02-26 06:41:07 [INFO]    [PING OK] KZ | VLESS | 3913ms
2026-02-26 06:41:08 [INFO]    [PING OK] FI | VLESS | 3637ms
2026-02-26 06:41:09 [INFO]    [PING OK] FI | VLESS | 8369ms
2026-02-26 06:41:09 [INFO]    [PING OK] HU | VLESS | 6873ms
2026-02-26 06:41:09 [INFO]    [PING OK] NL | VLESS | 4105ms
2026-02-26 06:41:09 [INFO]    [PING OK] LT | VLESS | 4577ms
2026-02-26 06:41:10 [INFO]    [PING OK] DE | VLESS | 4226ms
2026-02-26 06:41:10 [INFO]    [PING OK] FI | VLESS | 4347ms
2026-02-26 06:41:10 [INFO]    [PING OK] FI | VLESS | 4184ms
2026-02-26 06:41:10 [INFO]    [PING OK] NL | VLESS | 4292ms
2026-02-26 06:41:10 [INFO]    [PING OK] NL | VLESS | 4382ms
2026-02-26 06:41:10 [INFO]    [PING OK] FR | VLESS | 4323ms
2026-02-26 06:41:12 [INFO]    [PING OK] GB | VLESS | 4536ms
2026-02-26 06:41:12 [INFO]    [PING OK] DE | VLESS | 8440ms
2026-02-26 06:41:13 [INFO]    [PING OK] LV | VLESS | 4316ms
2026-02-26 06:41:13 [INFO]    [PING OK] US | VLESS | 4022ms
2026-02-26 06:41:14 [INFO]    [PING OK] GB | VLESS | 3969ms
2026-02-26 06:41:14 [INFO]    [PING OK] DE | VLESS | 3499ms
2026-02-26 06:41:14 [INFO]    [PING OK] DE | VLESS | 2761ms
2026-02-26 06:41:14 [INFO]    [PING OK] DE | VLESS | 2603ms
2026-02-26 06:41:15 [INFO]    [PING OK] US | VLESS | 2529ms
2026-02-26 06:41:15 [INFO]    [PING OK] NL | VLESS | 1586ms
2026-02-26 06:41:15 [INFO]    [PING OK] GB | VLESS | 1279ms
2026-02-26 06:41:16 [INFO]    [PING OK] NL | VLESS | 4517ms
2026-02-26 06:41:20 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-26 06:41:24 [INFO]    🏆 NL | VLESS | Пинг: 3061ms | Скорость: 5.53 Mbps ⚡⚡
2026-02-26 06:41:24 [INFO]    🏆 NL | VLESS | Пинг: 1586ms | Скорость: 5.4 Mbps ⚡⚡
2026-02-26 06:41:24 [INFO]    🏆 DE | VLESS | Пинг: 3496ms | Скорость: 5.69 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 DE | VLESS | Пинг: 2761ms | Скорость: 5.46 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 DE | VLESS | Пинг: 3499ms | Скорость: 5.75 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 US | VLESS | Пинг: 2529ms | Скорость: 5.26 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 DE | VLESS | Пинг: 2603ms | Скорость: 5.29 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 NL | VLESS | Пинг: 3484ms | Скорость: 5.54 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 PL | VLESS | Пинг: 3469ms | Скорость: 5.53 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 GB | VLESS | Пинг: 1279ms | Скорость: 5.23 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 PL | VLESS | Пинг: 3409ms | Скорость: 5.48 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 TR | VLESS | Пинг: 3497ms | Скорость: 5.52 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 DE | VLESS | Пинг: 3405ms | Скорость: 5.22 Mbps ⚡⚡
2026-02-26 06:41:25 [INFO]    🏆 FI | VLESS | Пинг: 3352ms | Скорость: 5.23 Mbps ⚡⚡
2026-02-26 06:41:27 [INFO]    🏆 FI | VLESS | Пинг: 3507ms | Скорость: 10.96 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 FI | VLESS | Пинг: 3637ms | Скорость: 5.84 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 DE | VLESS | Пинг: 3673ms | Скорость: 5.79 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 FI | VLESS | Пинг: 3789ms | Скорость: 5.88 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 NL | VLESS | Пинг: 3682ms | Скорость: 5.77 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 CH | VLESS | Пинг: 3783ms | Скорость: 5.76 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 TR | VLESS | Пинг: 3687ms | Скорость: 5.59 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 DE | VLESS | Пинг: 3658ms | Скорость: 5.42 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 NL | VLESS | Пинг: 3779ms | Скорость: 5.44 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 NL | VLESS | Пинг: 3783ms | Скорость: 5.5 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 DE | VLESS | Пинг: 3770ms | Скорость: 5.33 Mbps ⚡⚡
2026-02-26 06:41:29 [INFO]    🏆 PL | VLESS | Пинг: 3606ms | Скорость: 4.71 Mbps ⚡⚡
2026-02-26 06:41:30 [INFO]    🏆 DE | VLESS | Пинг: 3797ms | Скорость: 7.29 Mbps ⚡⚡
2026-02-26 06:41:30 [INFO]    🏆 FR | VLESS | Пинг: 3806ms | Скорость: 17.15 Mbps ⚡⚡
2026-02-26 06:41:31 [INFO]    🏆 US | VLESS | Пинг: 3657ms | Скорость: 1.9 Mbps ⚡
2026-02-26 06:41:31 [INFO]    🏆 PL | VLESS | Пинг: 3831ms | Скорость: 10.96 Mbps ⚡⚡
2026-02-26 06:41:32 [INFO]    🏆 NL | VLESS | Пинг: 3811ms | Скорость: 9.91 Mbps ⚡⚡
2026-02-26 06:41:32 [INFO]    🏆 NL | VLESS | Пинг: 3844ms | Скорость: 10.2 Mbps ⚡⚡
2026-02-26 06:41:32 [INFO]    🏆 KZ | VLESS | Пинг: 3913ms | Скорость: 10.33 Mbps ⚡⚡
2026-02-26 06:41:32 [INFO]    🏆 ES | VLESS | Пинг: 3871ms | Скорость: 9.98 Mbps ⚡⚡
2026-02-26 06:41:32 [INFO]    🏆 TR | VLESS | Пинг: 3920ms | Скорость: 10.22 Mbps ⚡⚡
2026-02-26 06:41:32 [INFO]    🏆 DE | VLESS | Пинг: 3888ms | Скорость: 9.89 Mbps ⚡⚡
2026-02-26 06:41:33 [INFO]    🏆 ES | VLESS | Пинг: 3917ms | Скорость: 7.03 Mbps ⚡⚡
2026-02-26 06:41:33 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-26 06:41:33 [INFO] 💾 Файл успешно сохранен: FL1PVPN
