2026-02-26 07:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 07:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 07:50:07 [INFO] 🔍 Уникальных конфигов собрано: 410
2026-02-26 07:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 07:50:45 [INFO]    [PING OK] EE | VLESS | 4027ms
2026-02-26 07:50:45 [INFO]    [PING OK] SE | VLESS | 4015ms
2026-02-26 07:50:45 [INFO]    [PING OK] ES | VLESS | 5338ms
2026-02-26 07:50:46 [INFO]    [PING OK] DE | VLESS | 3925ms
2026-02-26 07:50:46 [INFO]    [PING OK] US | VLESS | 4075ms
2026-02-26 07:50:47 [INFO]    [PING OK] DE | VLESS | 7703ms
2026-02-26 07:50:47 [INFO]    [PING OK] SG | VLESS | 4781ms
2026-02-26 07:50:47 [INFO]    [PING OK] US | VLESS | 4374ms
2026-02-26 07:50:49 [INFO]    [PING OK] LV | VLESS | 4544ms
2026-02-26 07:50:50 [INFO]    [PING OK] DE | VLESS | 4350ms
2026-02-26 07:50:50 [INFO]    [PING OK] GB | VLESS | 4415ms
2026-02-26 07:50:50 [INFO]    [PING OK] DE | VLESS | 4452ms
2026-02-26 07:50:50 [INFO]    [PING OK] GB | VLESS | 4061ms
2026-02-26 07:50:51 [INFO]    [PING OK] GB | VLESS | 3316ms
2026-02-26 07:50:51 [INFO]    [PING OK] FR | VLESS | 1662ms
2026-02-26 07:50:51 [INFO]    [PING OK] DE | VLESS | 1680ms
2026-02-26 07:50:57 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-26 07:51:01 [INFO]    🏆 NL | VLESS | Пинг: 2449ms | Скорость: 5.42 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 LV | VLESS | Пинг: 2461ms | Скорость: 5.35 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 FI | VLESS | Пинг: 2459ms | Скорость: 5.33 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 PL | VLESS | Пинг: 2660ms | Скорость: 5.43 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 DE | VLESS | Пинг: 1680ms | Скорость: 5.16 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 ES | VLESS | Пинг: 2609ms | Скорость: 5.29 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 DE | VLESS | Пинг: 2655ms | Скорость: 5.38 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 DE | VLESS | Пинг: 2635ms | Скорость: 5.3 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 TR | VLESS | Пинг: 2592ms | Скорость: 5.2 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 NL | VLESS | Пинг: 2690ms | Скорость: 5.38 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 DE | VLESS | Пинг: 2547ms | Скорость: 5.17 Mbps ⚡⚡
2026-02-26 07:51:01 [INFO]    🏆 FI | VLESS | Пинг: 2640ms | Скорость: 5.31 Mbps ⚡⚡
2026-02-26 07:51:03 [INFO]    🏆 FR | VLESS | Пинг: 1662ms | Скорость: 2.22 Mbps ⚡
2026-02-26 07:51:03 [INFO]    🏆 LV | VLESS | Пинг: 2514ms | Скорость: 2.83 Mbps ⚡
2026-02-26 07:51:03 [INFO]    🏆 NL | VLESS | Пинг: 2628ms | Скорость: 2.49 Mbps ⚡
2026-02-26 07:51:04 [INFO]    🏆 BE | VLESS | Пинг: 2725ms | Скорость: 8.47 Mbps ⚡⚡
2026-02-26 07:51:05 [INFO]    🏆 FI | VLESS | Пинг: 3036ms | Скорость: 8.21 Mbps ⚡⚡
2026-02-26 07:51:05 [INFO]    🏆 IT | VLESS | Пинг: 2917ms | Скорость: 8.12 Mbps ⚡⚡
2026-02-26 07:51:05 [INFO]    🏆 DE | VLESS | Пинг: 2756ms | Скорость: 7.83 Mbps ⚡⚡
2026-02-26 07:51:05 [INFO]    🏆 IT | VLESS | Пинг: 2769ms | Скорость: 7.64 Mbps ⚡⚡
2026-02-26 07:51:05 [INFO]    🏆 IT | VLESS | Пинг: 2957ms | Скорость: 7.75 Mbps ⚡⚡
2026-02-26 07:51:05 [INFO]    🏆 TR | VLESS | Пинг: 3071ms | Скорость: 7.56 Mbps ⚡⚡
2026-02-26 07:51:06 [INFO]    🏆 ES | VLESS | Пинг: 2696ms | Скорость: 4.69 Mbps ⚡⚡
2026-02-26 07:51:06 [INFO]    🏆 PL | VLESS | Пинг: 2850ms | Скорость: 4.87 Mbps ⚡⚡
2026-02-26 07:51:06 [INFO]    🏆 DE | VLESS | Пинг: 3101ms | Скорость: 9.84 Mbps ⚡⚡
2026-02-26 07:51:06 [INFO]    🏆 NL | VLESS | Пинг: 3098ms | Скорость: 9.39 Mbps ⚡⚡
2026-02-26 07:51:06 [INFO]    🏆 TR | VLESS | Пинг: 3103ms | Скорость: 9.12 Mbps ⚡⚡
2026-02-26 07:51:07 [INFO]    🏆 TR | VLESS | Пинг: 3106ms | Скорость: 8.55 Mbps ⚡⚡
2026-02-26 07:51:08 [INFO]    🏆 US | VLESS | Пинг: 2699ms | Скорость: 1.15 Mbps 
2026-02-26 07:51:08 [INFO]    🏆 US | VLESS | Пинг: 3022ms | Скорость: 1.07 Mbps 
2026-02-26 07:51:08 [INFO]    🏆 PL | VLESS | Пинг: 3127ms | Скорость: 7.02 Mbps ⚡⚡
2026-02-26 07:51:08 [INFO]    🏆 NL | VLESS | Пинг: 3138ms | Скорость: 7.21 Mbps ⚡⚡
2026-02-26 07:51:08 [INFO]    🏆 IT | VLESS | Пинг: 3135ms | Скорость: 7.12 Mbps ⚡⚡
2026-02-26 07:51:08 [INFO]    🏆 ES | VLESS | Пинг: 3128ms | Скорость: 6.93 Mbps ⚡⚡
2026-02-26 07:51:08 [INFO]    🏆 FI | VLESS | Пинг: 3153ms | Скорость: 7.34 Mbps ⚡⚡
2026-02-26 07:51:08 [INFO]    🏆 FR | VLESS | Пинг: 3142ms | Скорость: 6.99 Mbps ⚡⚡
2026-02-26 07:51:09 [INFO]    🏆 PL | VLESS | Пинг: 3202ms | Скорость: 9.42 Mbps ⚡⚡
2026-02-26 07:51:09 [INFO]    🏆 PL | VLESS | Пинг: 3176ms | Скорость: 9.15 Mbps ⚡⚡
2026-02-26 07:51:09 [INFO]    🏆 TR | VLESS | Пинг: 3158ms | Скорость: 8.97 Mbps ⚡⚡
2026-02-26 07:51:09 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-26 07:51:09 [INFO] 💾 Файл успешно сохранен: FL1PVPN
