2026-02-15 20:37:49 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-15 20:37:49 [INFO] 🌐 Загрузка источников...
2026-02-15 20:37:51 [INFO] 🔍 Уникальных конфигов собрано: 320
2026-02-15 20:37:51 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-15 20:38:20 [INFO]    [PING OK] CY | 789ms
2026-02-15 20:38:20 [INFO]    [PING OK] TR | 617ms
2026-02-15 20:38:20 [INFO]    [PING OK] FR | 336ms
2026-02-15 20:38:20 [INFO]    [PING OK] IQ | 202ms
2026-02-15 20:38:25 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для ТОП-10 серверов...
2026-02-15 20:38:31 [INFO]    🏆 FI | Пинг: 99ms | Скорость: 5.04 Mbps ⚡⚡
2026-02-15 20:38:31 [INFO]    🏆 PL | Пинг: 139ms | Скорость: 8.83 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 DE | Пинг: 143ms | Скорость: 8.94 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 PL | Пинг: 151ms | Скорость: 8.97 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 DE | Пинг: 155ms | Скорость: 4.88 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 DE | Пинг: 166ms | Скорость: 9.31 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 DE | Пинг: 173ms | Скорость: 9.12 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 DE | Пинг: 185ms | Скорость: 9.45 Mbps ⚡⚡
2026-02-15 20:38:32 [INFO]    🏆 FI | Пинг: 190ms | Скорость: 2.34 Mbps ⚡
2026-02-15 20:38:32 [INFO]    🏆 RU | Пинг: 53ms | Скорость: 0.0 Mbps 
2026-02-15 20:38:32 [INFO] 🇷🇺 Добавлен RU сервер: 95.163.211.158
2026-02-15 20:38:32 [INFO] 📊 Итого в подписке сохранено: 10 серверов
2026-02-15 20:38:32 [INFO] 💾 Файл успешно сохранен: FL1PVPN
