2026-02-21 13:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:00:15 [INFO] 🔍 Уникальных конфигов собрано: 3599
2026-02-21 13:00:15 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:01:10 [INFO]    [PING OK] FR | VLESS | 1078ms
2026-02-21 13:01:10 [INFO]    [PING OK] RU | VLESS | 217ms
2026-02-21 13:01:10 [INFO]    [PING OK] SE | VLESS | 93ms
2026-02-21 13:01:11 [INFO]    [PING OK] DE | VLESS | 210ms
2026-02-21 13:01:14 [INFO]    [PING OK] SC | VLESS | 4529ms
2026-02-21 13:01:14 [INFO]    [PING OK] NO | VLESS | 168ms
2026-02-21 13:01:17 [INFO]    [PING OK] RU | VLESS | 350ms
2026-02-21 13:01:17 [INFO]    [PING OK] US | VMESS | 367ms
2026-02-21 13:01:18 [INFO]    [PING OK] TR | VLESS | 267ms
2026-02-21 13:01:20 [INFO]    [PING OK] RU | VLESS | 536ms
2026-02-21 13:01:20 [INFO]    [PING OK] KR | VMESS | 697ms
2026-02-21 13:01:20 [INFO]    [PING OK] GB | VMESS | 1635ms
2026-02-21 13:01:20 [INFO]    [PING OK] NL | VLESS | 708ms
2026-02-21 13:01:22 [INFO]    [PING OK] DE | VLESS | 2350ms
2026-02-21 13:01:24 [INFO]    [PING OK] RU | VLESS | 143ms
2026-02-21 13:01:24 [INFO]    [PING OK] RU | VLESS | 1518ms
2026-02-21 13:01:26 [INFO]    [PING OK] FI | VLESS | 1690ms
2026-02-21 13:01:30 [INFO]    [PING OK] HU | VLESS | 599ms
2026-02-21 13:01:31 [INFO]    [PING OK] CY | VLESS | 394ms
2026-02-21 13:01:31 [INFO]    [PING OK] NL | VLESS | 205ms
2026-02-21 13:01:34 [INFO]    [PING OK] BR | VLESS | 1477ms
2026-02-21 13:01:34 [INFO]    [PING OK] GB | VLESS | 221ms
2026-02-21 13:01:35 [INFO]    [PING OK] PL | VLESS | 951ms
2026-02-21 13:01:36 [INFO]    [PING OK] IT | VLESS | 263ms
2026-02-21 13:01:37 [INFO]    [PING OK] FR | VLESS | 648ms
2026-02-21 13:01:37 [INFO]    [PING OK] NL | VLESS | 219ms
2026-02-21 13:01:37 [INFO]    [PING OK] CY | VLESS | 377ms
2026-02-21 13:01:38 [INFO]    [PING OK] FR | VLESS | 1025ms
2026-02-21 13:01:40 [INFO]    [PING OK] NL | VLESS | 898ms
2026-02-21 13:01:41 [INFO]    [PING OK] AT | VLESS | 276ms
2026-02-21 13:01:46 [INFO]    [PING OK] RU | VLESS | 205ms
2026-02-21 13:01:49 [INFO]    [PING OK] NL | VLESS | 3238ms
2026-02-21 13:01:50 [INFO]    [PING OK] NL | VLESS | 268ms
2026-02-21 13:01:51 [INFO]    [PING OK] US | VLESS | 417ms
2026-02-21 13:01:51 [INFO]    [PING OK] AT | VLESS | 229ms
2026-02-21 13:01:52 [INFO]    [PING OK] NL | VLESS | 883ms
2026-02-21 13:01:55 [INFO]    [PING OK] IS | VLESS | 1156ms
2026-02-21 13:01:58 [INFO]    [PING OK] RU | VLESS | 294ms
2026-02-21 13:01:58 [INFO]    [PING OK] AT | VLESS | 236ms
2026-02-21 13:02:02 [INFO]    [PING OK] NL | VLESS | 1450ms
2026-02-21 13:02:02 [INFO]    [PING OK] AU | VLESS | 113ms
2026-02-21 13:02:02 [INFO]    [PING OK] US | VLESS | 4257ms
2026-02-21 13:02:02 [INFO]    [PING OK] FR | VLESS | 278ms
2026-02-21 13:02:04 [INFO]    [PING OK] US | VLESS | 645ms
2026-02-21 13:02:05 [INFO]    [PING OK] DE | VLESS | 1080ms
2026-02-21 13:02:08 [INFO]    [PING OK] NL | VLESS | 4305ms
2026-02-21 13:02:10 [INFO]    [PING OK] NL | VLESS | 411ms
2026-02-21 13:02:10 [INFO]    [PING OK] FR | VLESS | 213ms
2026-02-21 13:02:10 [INFO]    [PING OK] FR | VLESS | 789ms
2026-02-21 13:02:12 [INFO]    [PING OK] US | VLESS | 628ms
2026-02-21 13:02:13 [INFO]    [PING OK] US | VLESS | 603ms
2026-02-21 13:02:16 [INFO]    [PING OK] NL | VLESS | 875ms
2026-02-21 13:02:16 [INFO]    [PING OK] BR | VLESS | 827ms
2026-02-21 13:02:17 [INFO]    [PING OK] IQ | VLESS | 186ms
2026-02-21 13:02:17 [INFO]    [PING OK] FI | VLESS | 188ms
2026-02-21 13:02:18 [INFO]    [PING OK] NL | VLESS | 4946ms
2026-02-21 13:02:19 [INFO]    [PING OK] US | VLESS | 433ms
2026-02-21 13:02:22 [INFO]    [PING OK] IS | VLESS | 782ms
2026-02-21 13:02:25 [INFO]    [PING OK] NL | VLESS | 204ms
2026-02-21 13:02:27 [INFO]    [PING OK] MD | VLESS | 680ms
2026-02-21 13:02:27 [INFO]    [PING OK] DE | VLESS | 263ms
2026-02-21 13:02:31 [INFO]    [PING OK] GB | VLESS | 195ms
2026-02-21 13:02:32 [INFO]    [PING OK] BG | VLESS | 271ms
2026-02-21 13:02:33 [INFO]    [PING OK] NL | VLESS | 191ms
2026-02-21 13:02:34 [INFO]    [PING OK] FI | VLESS | 236ms
2026-02-21 13:02:39 [INFO]    [PING OK] FR | VLESS | 1182ms
2026-02-21 13:02:39 [INFO]    [PING OK] FR | VLESS | 184ms
2026-02-21 13:02:39 [INFO]    [PING OK] FI | VLESS | 199ms
2026-02-21 13:02:41 [INFO]    [PING OK] US | VLESS | 525ms
2026-02-21 13:02:44 [INFO]    [PING OK] GB | VLESS | 128ms
2026-02-21 13:02:44 [INFO]    [PING OK] CY | VLESS | 1423ms
2026-02-21 13:02:45 [INFO]    [PING OK] NL | VLESS | 177ms
2026-02-21 13:02:46 [INFO]    [PING OK] GB | VLESS | 837ms
2026-02-21 13:02:47 [INFO]    [PING OK] LV | VLESS | 454ms
2026-02-21 13:02:48 [INFO]    [PING OK] DE | VLESS | 161ms
