2026-02-26 05:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:30:06 [INFO] 🔍 Уникальных конфигов собрано: 615
2026-02-26 05:30:06 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:31:23 [INFO]    🏆 LV | VLESS | Пинг: 3446ms | Скорость: 6.82 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 DE | VLESS | Пинг: 2332ms | Скорость: 6.32 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 GB | VLESS | Пинг: 2798ms | Скорость: 5.88 Mbps ⚡⚡
2026-02-26 05:31:24 [INFO]    🏆 DE | VLESS | Пинг: 3371ms | Скорость: 5.13 Mbps ⚡⚡
2026-02-26 05:31:25 [INFO]    🏆 FR | VLESS | Пинг: 3076ms | Скорость: 3.65 Mbps ⚡⚡
2026-02-26 05:31:26 [INFO]    🏆 DE | VLESS | Пинг: 3444ms | Скорость: 3.09 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 FI | VLESS | Пинг: 3474ms | Скорость: 6.06 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 LV | VLESS | Пинг: 3562ms | Скорость: 6.0 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 DE | VLESS | Пинг: 3510ms | Скорость: 5.96 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 PL | VLESS | Пинг: 3610ms | Скорость: 6.56 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 FI | VLESS | Пинг: 3543ms | Скорость: 5.94 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 NL | VLESS | Пинг: 3598ms | Скорость: 5.94 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 EE | VLESS | Пинг: 3603ms | Скорость: 6.17 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 CH | VLESS | Пинг: 3533ms | Скорость: 5.77 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 HU | VLESS | Пинг: 3550ms | Скорость: 5.8 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 FI | VLESS | Пинг: 3614ms | Скорость: 6.3 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 ES | VLESS | Пинг: 3472ms | Скорость: 5.63 Mbps ⚡⚡
2026-02-26 05:31:27 [INFO]    🏆 TR | VLESS | Пинг: 3480ms | Скорость: 5.51 Mbps ⚡⚡
2026-02-26 05:31:28 [INFO]    🏆 IN | VLESS | Пинг: 3618ms | Скорость: 6.19 Mbps ⚡⚡
2026-02-26 05:31:29 [INFO]    🏆 PL | VLESS | Пинг: 3623ms | Скорость: 8.72 Mbps ⚡⚡
2026-02-26 05:31:30 [INFO]    🏆 US | VLESS | Пинг: 3618ms | Скорость: 4.49 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 FR | VLESS | Пинг: 3664ms | Скорость: 6.38 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 GB | VLESS | Пинг: 3699ms | Скорость: 6.49 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 HU | VLESS | Пинг: 3726ms | Скорость: 6.62 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 PL | VLESS | Пинг: 3679ms | Скорость: 6.35 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 PL | VLESS | Пинг: 3720ms | Скорость: 6.46 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 NL | VLESS | Пинг: 3675ms | Скорость: 6.46 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 IT | VLESS | Пинг: 3728ms | Скорость: 6.61 Mbps ⚡⚡
2026-02-26 05:31:31 [INFO]    🏆 DE | VLESS | Пинг: 3644ms | Скорость: 6.37 Mbps ⚡⚡
2026-02-26 05:31:34 [INFO]    🏆 FI | VLESS | Пинг: 3633ms | Скорость: 0.98 Mbps 
2026-02-26 05:31:34 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-26 05:31:34 [INFO] 💾 Файл успешно сохранен: FL1PVPN
