2026-02-26 04:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 04:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 04:40:07 [INFO] 🔍 Уникальных конфигов собрано: 615
2026-02-26 04:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 04:41:15 [INFO]    [PING OK] SG | VLESS | 4965ms
2026-02-26 04:41:15 [INFO]    [PING OK] DE | VLESS | 3973ms
2026-02-26 04:41:15 [INFO]    [PING OK] TW | VLESS | 5038ms
2026-02-26 04:41:15 [INFO]    [PING OK] LV | VLESS | 5967ms
2026-02-26 04:41:15 [INFO]    [PING OK] FR | VLESS | 4191ms
2026-02-26 04:41:16 [INFO]    [PING OK] DE | VLESS | 3295ms
2026-02-26 04:41:16 [INFO]    [PING OK] US | VLESS | 2462ms
2026-02-26 04:41:18 [INFO]    [PING OK] SG | VLESS | 5957ms
2026-02-26 04:41:21 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-26 04:41:25 [INFO]    🏆 DE | VLESS | Пинг: 3295ms | Скорость: 6.06 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 NL | VLESS | Пинг: 3866ms | Скорость: 6.48 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 DE | VLESS | Пинг: 3676ms | Скорость: 6.07 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 FI | VLESS | Пинг: 3787ms | Скорость: 6.04 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 PL | VLESS | Пинг: 3640ms | Скорость: 5.9 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 NL | VLESS | Пинг: 3806ms | Скорость: 6.06 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 NL | VLESS | Пинг: 3815ms | Скорость: 6.16 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 DE | VLESS | Пинг: 3427ms | Скорость: 5.83 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 PL | VLESS | Пинг: 3712ms | Скорость: 5.92 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 HU | VLESS | Пинг: 3802ms | Скорость: 6.02 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 NL | VLESS | Пинг: 3669ms | Скорость: 5.76 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 FI | VLESS | Пинг: 3847ms | Скорость: 6.01 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 LV | VLESS | Пинг: 3524ms | Скорость: 5.7 Mbps ⚡⚡
2026-02-26 04:41:25 [INFO]    🏆 NL | VLESS | Пинг: 3856ms | Скорость: 5.96 Mbps ⚡⚡
2026-02-26 04:41:26 [INFO]    🏆 US | VLESS | Пинг: 2462ms | Скорость: 4.47 Mbps ⚡⚡
2026-02-26 04:41:28 [INFO]    🏆 FI | VLESS | Пинг: 3886ms | Скорость: 7.73 Mbps ⚡⚡
2026-02-26 04:41:28 [INFO]    🏆 DE | VLESS | Пинг: 3882ms | Скорость: 7.66 Mbps ⚡⚡
