2026-02-27 15:00:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 15:00:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 15:00:07 [INFO] 🔍 Уникальных конфигов собрано: 457
2026-02-27 15:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 15:00:52 [INFO]    [PING OK] PL | VLESS | 3402ms
2026-02-27 15:00:52 [INFO]    [PING OK] SE | VLESS | 3951ms
2026-02-27 15:00:52 [INFO]    [PING OK] JP | VLESS | 3669ms
2026-02-27 15:00:53 [INFO]    [PING OK] DE | VLESS | 3846ms
2026-02-27 15:00:53 [INFO]    [PING OK] JP | VLESS | 3789ms
2026-02-27 15:00:54 [INFO]    [PING OK] PL | VLESS | 4543ms
2026-02-27 15:00:55 [INFO]    [PING OK] DE | VLESS | 4375ms
2026-02-27 15:00:55 [INFO]    [PING OK] PL | VLESS | 4609ms
2026-02-27 15:00:56 [INFO]    [PING OK] SE | VLESS | 4552ms
2026-02-27 15:00:56 [INFO]    [PING OK] IN | VLESS | 5006ms
2026-02-27 15:00:56 [INFO]    [PING OK] EE | VLESS | 4916ms
2026-02-27 15:00:57 [INFO]    [PING OK] NL | VLESS | 4554ms
2026-02-27 15:00:57 [INFO]    [PING OK] LV | VLESS | 4641ms
2026-02-27 15:00:57 [INFO]    [PING OK] FI | VLESS | 4432ms
2026-02-27 15:00:57 [INFO]    [PING OK] FI | VLESS | 4351ms
2026-02-27 15:00:57 [INFO]    [PING OK] PL | VLESS | 4591ms
2026-02-27 15:00:58 [INFO]    [PING OK] NL | VLESS | 4802ms
2026-02-27 15:00:58 [INFO]    [PING OK] US | VLESS | 4315ms
2026-02-27 15:00:58 [INFO]    [PING OK] DE | VLESS | 4570ms
2026-02-27 15:00:58 [INFO]    [PING OK] LV | VLESS | 3940ms
2026-02-27 15:00:59 [INFO]    [PING OK] FR | VLESS | 3739ms
2026-02-27 15:00:59 [INFO]    [PING OK] NL | VLESS | 3254ms
2026-02-27 15:00:59 [INFO]    [PING OK] DE | VLESS | 4129ms
2026-02-27 15:00:59 [INFO]    [PING OK] DE | VLESS | 3026ms
2026-02-27 15:00:59 [INFO]    [PING OK] DE | VLESS | 4024ms
2026-02-27 15:00:59 [INFO]    [PING OK] DE | VLESS | 2102ms
2026-02-27 15:00:59 [INFO]    [PING OK] DE | VLESS | 3979ms
2026-02-27 15:00:59 [INFO]    [PING OK] FI | VLESS | 1957ms
2026-02-27 15:00:59 [INFO]    [PING OK] DE | VLESS | 2237ms
2026-02-27 15:00:59 [INFO]    [PING OK] SG | VLESS | 2370ms
2026-02-27 15:01:00 [INFO]    [PING OK] SG | VLESS | 3362ms
2026-02-27 15:01:00 [INFO]    [PING OK] DE | VLESS | 3267ms
2026-02-27 15:01:00 [INFO]    [PING OK] TW | VLESS | 6731ms
2026-02-27 15:01:01 [INFO]    [PING OK] DE | VLESS | 3883ms
2026-02-27 15:01:02 [INFO]    [PING OK] CA | VLESS | 5590ms
2026-02-27 15:01:04 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-27 15:01:08 [INFO]    🏆 DE | VLESS | Пинг: 3105ms | Скорость: 6.39 Mbps ⚡⚡
2026-02-27 15:01:08 [INFO]    🏆 FI | VLESS | Пинг: 3186ms | Скорость: 6.51 Mbps ⚡⚡
2026-02-27 15:01:08 [INFO]    🏆 FI | VLESS | Пинг: 3141ms | Скорость: 6.14 Mbps ⚡⚡
2026-02-27 15:01:08 [INFO]    🏆 PL | VLESS | Пинг: 3213ms | Скорость: 6.0 Mbps ⚡⚡
2026-02-27 15:01:08 [INFO]    🏆 CH | VLESS | Пинг: 3219ms | Скорость: 6.07 Mbps ⚡⚡
2026-02-27 15:01:09 [INFO]    🏆 KZ | VLESS | Пинг: 3037ms | Скорость: 5.29 Mbps ⚡⚡
2026-02-27 15:01:09 [INFO]    🏆 DE | VLESS | Пинг: 2102ms | Скорость: 5.15 Mbps ⚡⚡
2026-02-27 15:01:09 [INFO]    🏆 SG | VLESS | Пинг: 2370ms | Скорость: 4.88 Mbps ⚡⚡
2026-02-27 15:01:09 [INFO]    🏆 FI | VLESS | Пинг: 2942ms | Скорость: 4.88 Mbps ⚡⚡
2026-02-27 15:01:10 [INFO]    🏆 DE | VLESS | Пинг: 2237ms | Скорость: 3.84 Mbps ⚡⚡
2026-02-27 15:01:11 [INFO]    🏆 FI | VLESS | Пинг: 1957ms | Скорость: 3.42 Mbps ⚡⚡
2026-02-27 15:01:11 [INFO]    🏆 DE | VLESS | Пинг: 3026ms | Скорость: 3.25 Mbps ⚡⚡
2026-02-27 15:01:11 [INFO]    🏆 TR | VLESS | Пинг: 3166ms | Скорость: 2.84 Mbps ⚡
2026-02-27 15:01:11 [INFO]    🏆 NL | VLESS | Пинг: 3178ms | Скорость: 3.17 Mbps ⚡⚡
2026-02-27 15:01:12 [INFO]    🏆 NL | VLESS | Пинг: 3254ms | Скорость: 7.19 Mbps ⚡⚡
2026-02-27 15:01:12 [INFO]    🏆 NL | VLESS | Пинг: 3269ms | Скорость: 7.45 Mbps ⚡⚡
2026-02-27 15:01:12 [INFO]    🏆 LT | VLESS | Пинг: 3293ms | Скорость: 7.21 Mbps ⚡⚡
2026-02-27 15:01:12 [INFO]    🏆 PL | VLESS | Пинг: 3295ms | Скорость: 7.26 Mbps ⚡⚡
2026-02-27 15:01:13 [INFO]    🏆 DE | VLESS | Пинг: 3267ms | Скорость: 5.08 Mbps ⚡⚡
2026-02-27 15:01:13 [INFO]    🏆 NL | VLESS | Пинг: 3546ms | Скорость: 10.81 Mbps ⚡⚡
2026-02-27 15:01:14 [INFO]    🏆 CZ | VLESS | Пинг: 3610ms | Скорость: 8.75 Mbps ⚡⚡
2026-02-27 15:01:14 [INFO]    🏆 LV | VLESS | Пинг: 3637ms | Скорость: 13.43 Mbps ⚡⚡
2026-02-27 15:01:15 [INFO]    🏆 TR | VLESS | Пинг: 3449ms | Скорость: 6.08 Mbps ⚡⚡
2026-02-27 15:01:15 [INFO]    🏆 FI | VLESS | Пинг: 3608ms | Скорость: 6.87 Mbps ⚡⚡
2026-02-27 15:01:15 [INFO]    🏆 NL | VLESS | Пинг: 3629ms | Скорость: 10.46 Mbps ⚡⚡
2026-02-27 15:01:15 [INFO]    🏆 DE | VLESS | Пинг: 3244ms | Скорость: 2.29 Mbps ⚡
2026-02-27 15:01:15 [INFO]    🏆 IT | VLESS | Пинг: 3291ms | Скорость: 0.75 Mbps 
2026-02-27 15:01:16 [INFO]    🏆 HU | VLESS | Пинг: 3643ms | Скорость: 10.79 Mbps ⚡⚡
2026-02-27 15:01:16 [INFO]    🏆 HU | VLESS | Пинг: 3646ms | Скорость: 13.06 Mbps ⚡⚡
2026-02-27 15:01:16 [INFO]    🏆 GB | VLESS | Пинг: 3297ms | Скорость: 2.77 Mbps ⚡
2026-02-27 15:01:16 [INFO]    🏆 PL | VLESS | Пинг: 3647ms | Скорость: 16.01 Mbps ⚡⚡
2026-02-27 15:01:16 [INFO]    🏆 NL | VLESS | Пинг: 3669ms | Скорость: 17.11 Mbps ⚡⚡
2026-02-27 15:01:18 [INFO]    🏆 TR | VLESS | Пинг: 3665ms | Скорость: 6.5 Mbps ⚡⚡
2026-02-27 15:01:18 [INFO]    🏆 JP | VLESS | Пинг: 3669ms | Скорость: 6.76 Mbps ⚡⚡
2026-02-27 15:01:19 [INFO]    🏆 ES | VLESS | Пинг: 3626ms | Скорость: 1.31 Mbps 
2026-02-27 15:01:20 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-27 15:01:20 [INFO] 💾 Файл успешно сохранен: FL1PVPN
